"Title";"Released";"ContentRating";"IMBDRating";"RottenRating";"Genre";"Description";"NumOfSeasons";"StreamingPlatform"
"Animal Kingdom";2016;18;8.2;76;"Crime,Drama";"17-year-old Joshua 'J' Cody moves in with his freewheeling relatives in their Southern California beach town after his mother dies of a heroin overdose. Headed by boot-tough matriarch Janine 'Smurf' Cody and her right-hand Baz, who runs the business and calls the shots, the clan also consists of Pope, the oldest and most dangerous of the Cody boys; Craig, the tough and fearless middle son; and Deran, the troubled, suspicious 'baby' of the family.Animal Kingdom featuring Finn Cole and Ellen Barkin has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with TNT, available for purchase on iTunes, and 5 others. It's a crime and drama show with 49 episodes over 4 seasons. Animal Kingdom is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (22,514 votes).";"4 Seasons";"Prime Video"
"The Unit";2006;16;8.1;76;"Action & Adventure,Drama";"A covert team of special forces operatives risk their lives on undercover missions around the globe, while their wives maintain the homefront, protecting their husbands' secrets.The Unit featuring Max Martini and Scott Foley has one or more episodes streaming with subscription on Hulu, free on IMDb TV, available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 69 episodes over 4 seasons. The Unit is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (19,695 votes) and was well received by critics.";"4Seasons";"Hulu"
"Down to Earth with Zac Efron";2020;7;8.2;76;"Documentary,Travel";"Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live.Down to Earth with Zac Efron featuring Zac Efron and Darin Olien has one or more episodes streaming with subscription on Netflix. It's a documentary and travel show with 8 episodes over 1 season. Down to Earth with Zac Efron is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (4,076 votes) and was well received by critics.";"1 Season";"Netflix"
"Snowfall";2017;18;8.0;76;"Crime,Drama";"Los Angeles. 1983. A storm is coming and it's name is crack. Set against the infancy of the crack cocaine epidemic and its ultimate radical impact on the culture as we know it, the story follows numerous characters on a violent collision course.Snowfall featuring Damson Idris and Carter Hudson has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a crime and drama show with 30 episodes over 3 seasons. Snowfall is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (9,427 votes) and was well received by critics.";"3Seasons";"Hulu"
"Crazy Ex-Girlfriend";2015;16;7.8;76;"Musical,Comedy";"Rebecca Bunch is a successful, driven, and possibly crazy young woman who impulsively gives up everything - her partnership at a prestigious law firm and her upscale apartment in Manhattan - in a desperate attempt to find love and happiness in that exotic hotbed of romance and adventure: suburban West Covina, California.Crazy Ex-Girlfriend featuring Rachel Bloom and Donna Lynne Champlin has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and musical show with 62 episodes over 4 seasons. Crazy Ex-Girlfriend is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (16,197 votes) and was very well received by critics.";"4Seasons";"Netflix"
"Cheers";1982;7;7.8;76;"Comedy,Drama";"The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.Cheers featuring Ted Danson and Kirstie Alley has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Hulu, and 10 others. It's a comedy and drama show with 275 episodes over 11 seasons. Cheers is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (46,749 votes).";"11 Seasons";"Netflix,Prime Video"
"Chicago Fire";2012;16;7.9;76;"Action & Adventure,Drama";"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.Chicago Fire featuring Jesse Spencer and Taylor Kinney has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), free on NBC, and 9 others. It's an action & adventure and drama show with 179 episodes over 8 seasons. Chicago Fire has a new episode airing on November 11th, 2020 (PST). It has a high IMDb audience rating of 7.9 (34,334 votes).";"8 Seasons";"Hulu"
"Star Trek: Enterprise";2001;7;7.5;76;"Action & Adventure,Drama";"During the mid-22nd century, a century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.Star Trek: Enterprise featuring Scott Bakula and John Billingsley has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Hulu, and 5 others. It's an action & adventure and drama show with 99 episodes over 4 seasons. Star Trek: Enterprise is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (44,419 votes) and was met with mixed reviews by critics.";"4 Seasons";"Hulu,Netflix,Prime Video"
"Skins";2007;18;8.2;76;"Drama,Comedy";"Irreverent comedy drama which follows the messy lives, loves, delirious highs and inevitable lows of a group of raucous teenage friends in Bristol.Skins featuring Nicholas Hoult and Dev Patel has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Microsoft Store, and 1 other. It's a comedy and drama show with 61 episodes over 7 seasons. Skins is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (73,217 votes).";"7Seasons";"Hulu"
"Marcella";2016;18;7.4;76;"Crime,Drama";"Marcella is shocked to the core of her being when her husband Jason leaves her unexpectedly, confessing he no longer loves her. Heartbroken, Marcella returns to the Met’s Murder Squad. Ten years ago Marcella gave up her fast-tracked police career to marry and devote her life to her family. With the abrupt end to her marriage and isolated from her 13 year old daughter and 10 year old son, Marcella throws herself into work to stop herself from falling apart.Marcella featuring Anna Friel and Nicholas Pinnock has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hoopla, available for purchase on iTunes, and 4 others. It's a crime and drama show with 24 episodes over 3 seasons. Marcella is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (21,878 votes) and was well received by critics.";"3Seasons";"Netflix"
